anime_id,title,score,genre,studio,numEpi,releaseDate,numReviews,tomatometer,popcornmeter
51,goblin slayer,7.42,Action,White Fox,12,"Oct 7, 2018 to Dec 30, 2018",695981,NULL,7.9
52,godzilla singular point,6.65,Action,Bones,13,"Apr 1, 2021 to Jun 24, 2021",30319,5.6,6.6
53,good night world,7.03,Drama,NAZ,12,"Oct 12, 2023",23273,NULL,8.1
54,gundam: requiem for vengeance,null,,null,null,null,null,NULL,4.8
55,gurren lagann,8.63,Action,Gainax,27,"Apr 1, 2007 to Sep 30, 2007",921818,10.0,8.9
56,haikyu!! to the top,8.37,Sports,Production I.G,13,"Jan 11, 2020 to Apr 4, 2020",603091,NULL,9.6
57,hell's paradise,8.09,Action,MAPPA,13,"Apr 1, 2023 to Jul 1, 2023",409595,NULL,8.8
58,hunter x hunter,8.42,Action,Nippon Animation,62,"Oct 16, 1999 to Mar 31, 2001",297164,NULL,9.1
59,inuyashiki - last hero,null,,null,null,null,null,NULL,8.0
60,jojo's bizarre adventure,7.87,Action,David Production,26,"Oct 6, 2012 to Apr 6, 2013",1111490,NULL,8.6
61,jojo's bizarre adventure: stone ocean,8.1,Action,David Production,12,"Dec 1, 2021",303636,NULL,8.7
62,jujutsu kaisen,8.57,Action,MAPPA,24,"Oct 3, 2020 to Mar 27, 2021",1778413,NULL,8.8
63,junji ito maniac: japanese tales of the macabre,6.65,Drama,Studio Deen,12,"Jan 19, 2023",27725,7.5,5.7
64,kaiju no. 8,8.3,Action,Production I.G,12,"Apr 13, 2024 to Jun 29, 2024",276250,NULL,8.9
65,kengan ashura,7.45,Action,Larx Entertainment,12,"Jul 31, 2019",89068,NULL,8.4
66,kimi ni todoke -from me to you,null,,null,null,null,null,NULL,NULL
67,kotaro lives alone,8.17,Slice of Life,LIDENFILMS,10,"Mar 10, 2022",95123,10.0,9.6
68,mashle: magic and muscles,7.62,Action,A-1 Pictures,12,"Apr 8, 2023 to Jul 1, 2023",353641,NULL,8.3
69,mieruko-chan,7.39,Comedy,Passione,12,"Oct 3, 2021 to Dec 19, 2021",236866,NULL,NULL
70,mob psycho 100,8.49,Action,Bones,12,"Jul 11, 2016 to Sep 27, 2016",1323718,NULL,8.8
71,mobile suit gundam: the witch from mercury,7.86,Action,Sunrise,12,"Oct 2, 2022 to Jan 8, 2023",83234,NULL,5.0
72,mushoku tensei: jobless reincarnation,8.36,Adventure,Studio Bind,11,"Jan 11, 2021 to Mar 22, 2021",871534,NULL,8.8
73,my dress-up darling,8.16,Romance,CloverWorks,12,"Jan 9, 2022 to Mar 27, 2022",687723,NULL,7.6
74,my happy marriage,7.73,Drama,Kinema Citrus,12,"Jul 5, 2023 to Sep 20, 2023",155964,NULL,8.8
75,my hero academia,7.85,Action,Bones,13,"Apr 3, 2016 to Jun 26, 2016",2121011,NULL,8.6
76,naruto,8.0,Action,Pierrot,220,"Oct 3, 2002 to Feb 8, 2007",2024925,NULL,8.2
77,naruto: shippuden,null,,null,null,null,null,NULL,8.2
78,neon genesis evangelion,8.35,Action,Gainax,26,"Oct 4, 1995 to Mar 27, 1996",1125591,10.0,8.9
79,nier:automata ver1.1a,7.53,Action,A-1 Pictures,12,"Jan 8, 2023 to Jul 23, 2023",83085,NULL,9.3
80,nina the starry bride,6.93,Romance,Signal.MD,12,"Oct 10, 2024 to Dec 23, 2024",4629,NULL,NULL
81,ninja kamui,6.7,Action,E&H Production,13,"Feb 11, 2024 to May 5, 2024",64745,NULL,5.8
82,null,null,,null,null,null,null,NULL,NULL
